filename,positive,negative,index,date
20021202.txt,19,44,0.3968253968253968,2002-12-02
20030531.txt,9,22,0.41935483870967744,2003-05-31
20031118.txt,19,18,-0.02702702702702703,2003-11-18
20040518.txt,25,36,0.18032786885245902,2004-05-18
20041124.txt,22,13,-0.2571428571428571,2004-11-24
20050524.txt,13,21,0.23529411764705882,2005-05-24
20051204.txt,10,8,-0.1111111111111111,2005-12-04
20060524.txt,3,0,-1.0,2006-05-24
20061125.txt,18,37,0.34545454545454546,2006-11-25
20070523.txt,11,23,0.35294117647058826,2007-05-23
20071106.txt,29,64,0.3763440860215054,2007-11-06
20080403.txt,26,71,0.4639175257731959,2008-04-03
20081106.txt,11,64,0.7066666666666667,2008-11-06
20090507.txt,9,52,0.7049180327868853,2009-05-07
20091105.txt,31,70,0.38613861386138615,2009-11-05
20100327.txt,7,32,0.6410256410256411,2010-03-27
20101028.txt,39,76,0.3217391304347826,2010-10-28
20110504.txt,24,63,0.4482758620689655,2011-05-04
20111103.txt,7,55,0.7741935483870968,2011-11-03
20120428.txt,5,13,0.4444444444444444,2012-04-28
20121106.txt,1,5,0.6666666666666666,2012-11-06
20130508.txt,3,27,0.8,2013-05-08
20131107.txt,17,68,0.6,2013-11-07
20140509.txt,20,11,-0.2903225806451613,2014-05-09
20141104.txt,14,23,0.24324324324324326,2014-11-04
20150507.txt,8,35,0.627906976744186,2015-05-07
20151105.txt,13,44,0.543859649122807,2015-11-05
20160505.txt,11,36,0.5319148936170213,2016-05-05
20161104.txt,8,33,0.6097560975609756,2016-11-04
20170504.txt,6,22,0.5714285714285714,2017-05-04
20171103.txt,15,126,0.7872340425531915,2017-11-03
20180504.txt,12,51,0.6190476190476191,2018-05-04
20181108.txt,18,59,0.5324675324675324,2018-11-08
20190508.txt,18,70,0.5909090909090909,2019-05-08
20191101.txt,18,162,0.8,2019-11-01
20200505.txt,67,326,0.6590330788804071,2020-05-05
20201029.txt,64,225,0.5570934256055363,2020-10-29
20210429.txt,43,184,0.6211453744493393,2021-04-29
20211104.txt,39,114,0.49019607843137253,2021-11-04
20220427.txt,56,292,0.6781609195402298,2022-04-27
